cekim,nokta_x,nokta_y,cisim,gercek_uzun_mm,gercek_orta_mm,gercek_kisa_mm,bakis,not,dahil,dislama_nedeni
q_20260819_170641_data.npz,1373,1045,termos,250,72,36,yandan,cisim dik,E,
q_20260819_172145_data.npz,1539,1129,termos,250,72,36,yandan,cisim dik,E,
q_20260819_172354_data.npz,1412,1060,termos,250,72,36,yandan,cisim dik,E,
q_20260820_093039_data.npz,897,579,termos,250,72,36,tepeden,cisim yatik,E,
q_20260820_141009_data.npz,1036,624,cisim_A,,,,tepeden,aday 2,E,
q_20260820_141009_data.npz,1067,454,cisim_B,,,,tepeden,aday 3,E,
q_20260820_141009_data.npz,1083,516,cisim_C,,,,tepeden,aday 4,E,
q_20260820_141234_data.npz,1076,674,termos,250,72,36,tepeden,aday 5 - cisim yatik,E,
q_20260820_141234_data.npz,1107,632,termos,250,72,36,tepeden,aday 6 - ayni cisim 2. tiklama (tekrarlanabilirlik),E,
q_20260820_144644_data.npz,1142,1175,cisim_D,,,,tepeden,aday 8,E,
q_20260820_144837_data.npz,1322,215,cisim_E,,,,tepeden,aday 11,E,
q_20260820_144837_data.npz,620,390,cisim_F,,,,tepeden,aday 13,E,
q_20260820_144837_data.npz,626,457,cisim_G,,,,tepeden,aday 14,E,
q_20260820_141009_data.npz,1032,520,,,,,tepeden,aday 1,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
q_20260820_143925_data.npz,1051,691,,,,,tepeden,aday 7,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
q_20260820_144708_data.npz,1117,1180,,,,,tepeden,aday 9,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
q_20260820_144748_data.npz,1098,520,,,,,tepeden,aday 10,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
q_20260820_144837_data.npz,574,840,,,,,tepeden,aday 12,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
q_20260820_144837_data.npz,992,452,,,,,tepeden,aday 15,H,kullanici isaretledi - yanlis tiklama / cisim yalniz degil
